product_id,product_name,order_hour_of_day,orders_count,day
5876,Organic Lemon,0,130,Saturday
5876,Organic Lemon,1,72,Saturday
5876,Organic Lemon,2,45,Saturday
5876,Organic Lemon,3,25,Saturday
5876,Organic Lemon,4,22,Saturday
5876,Organic Lemon,5,32,Saturday
5876,Organic Lemon,6,80,Saturday
5876,Organic Lemon,7,357,Saturday
5876,Organic Lemon,8,926,Saturday
5876,Organic Lemon,9,1248,Saturday
5876,Organic Lemon,10,1595,Saturday
5876,Organic Lemon,11,1610,Saturday
5876,Organic Lemon,12,1558,Saturday
5876,Organic Lemon,13,1682,Saturday
5876,Organic Lemon,14,1794,Saturday
5876,Organic Lemon,15,1750,Saturday
5876,Organic Lemon,16,1595,Saturday
5876,Organic Lemon,17,1171,Saturday
5876,Organic Lemon,18,883,Saturday
5876,Organic Lemon,19,689,Saturday
5876,Organic Lemon,20,565,Saturday
5876,Organic Lemon,21,439,Saturday
5876,Organic Lemon,22,354,Saturday
5876,Organic Lemon,23,218,Saturday
8277,Apple Honeycrisp Organic,0,88,Saturday
8277,Apple Honeycrisp Organic,1,40,Saturday
8277,Apple Honeycrisp Organic,2,33,Saturday
8277,Apple Honeycrisp Organic,3,21,Saturday
8277,Apple Honeycrisp Organic,4,16,Saturday
8277,Apple Honeycrisp Organic,5,31,Saturday
8277,Apple Honeycrisp Organic,6,115,Saturday
8277,Apple Honeycrisp Organic,7,435,Saturday
8277,Apple Honeycrisp Organic,8,1041,Saturday
8277,Apple Honeycrisp Organic,9,1382,Saturday
8277,Apple Honeycrisp Organic,10,1508,Saturday
8277,Apple Honeycrisp Organic,11,1496,Saturday
8277,Apple Honeycrisp Organic,12,1525,Saturday
8277,Apple Honeycrisp Organic,13,1653,Saturday
8277,Apple Honeycrisp Organic,14,1627,Saturday
8277,Apple Honeycrisp Organic,15,1561,Saturday
8277,Apple Honeycrisp Organic,16,1439,Saturday
8277,Apple Honeycrisp Organic,17,1114,Saturday
8277,Apple Honeycrisp Organic,18,804,Saturday
8277,Apple Honeycrisp Organic,19,594,Saturday
8277,Apple Honeycrisp Organic,20,567,Saturday
8277,Apple Honeycrisp Organic,21,469,Saturday
8277,Apple Honeycrisp Organic,22,416,Saturday
8277,Apple Honeycrisp Organic,23,184,Saturday
13176,Bag of Organic Bananas,0,459,Saturday
13176,Bag of Organic Bananas,1,272,Saturday
13176,Bag of Organic Bananas,2,157,Saturday
13176,Bag of Organic Bananas,3,108,Saturday
13176,Bag of Organic Bananas,4,82,Saturday
13176,Bag of Organic Bananas,5,133,Saturday
13176,Bag of Organic Bananas,6,410,Saturday
13176,Bag of Organic Bananas,7,1739,Saturday
13176,Bag of Organic Bananas,8,3914,Saturday
13176,Bag of Organic Bananas,9,5275,Saturday
13176,Bag of Organic Bananas,10,5925,Saturday
13176,Bag of Organic Bananas,11,5955,Saturday
13176,Bag of Organic Bananas,12,6096,Saturday
13176,Bag of Organic Bananas,13,6465,Saturday
13176,Bag of Organic Bananas,14,6713,Saturday
13176,Bag of Organic Bananas,15,6763,Saturday
13176,Bag of Organic Bananas,16,6136,Saturday
13176,Bag of Organic Bananas,17,4947,Saturday
13176,Bag of Organic Bananas,18,3568,Saturday
13176,Bag of Organic Bananas,19,2855,Saturday
13176,Bag of Organic Bananas,20,2378,Saturday
13176,Bag of Organic Bananas,21,2145,Saturday
13176,Bag of Organic Bananas,22,1580,Saturday
13176,Bag of Organic Bananas,23,977,Saturday
16797,Strawberries,0,182,Saturday
16797,Strawberries,1,111,Saturday
16797,Strawberries,2,52,Saturday
16797,Strawberries,3,33,Saturday
16797,Strawberries,4,45,Saturday
16797,Strawberries,5,61,Saturday
16797,Strawberries,6,175,Saturday
16797,Strawberries,7,701,Saturday
16797,Strawberries,8,1592,Saturday
16797,Strawberries,9,2230,Saturday
16797,Strawberries,10,2328,Saturday
16797,Strawberries,11,2487,Saturday
16797,Strawberries,12,2485,Saturday
16797,Strawberries,13,2466,Saturday
16797,Strawberries,14,2589,Saturday
16797,Strawberries,15,2561,Saturday
16797,Strawberries,16,2334,Saturday
16797,Strawberries,17,1759,Saturday
16797,Strawberries,18,1313,Saturday
16797,Strawberries,19,1029,Saturday
16797,Strawberries,20,870,Saturday
16797,Strawberries,21,758,Saturday
16797,Strawberries,22,555,Saturday
16797,Strawberries,23,330,Saturday
21137,Organic Strawberries,0,363,Saturday
21137,Organic Strawberries,1,180,Saturday
21137,Organic Strawberries,2,107,Saturday
21137,Organic Strawberries,3,66,Saturday
21137,Organic Strawberries,4,59,Saturday
21137,Organic Strawberries,5,116,Saturday
21137,Organic Strawberries,6,316,Saturday
21137,Organic Strawberries,7,1475,Saturday
21137,Organic Strawberries,8,3117,Saturday
21137,Organic Strawberries,9,4006,Saturday
21137,Organic Strawberries,10,4454,Saturday
21137,Organic Strawberries,11,4377,Saturday
21137,Organic Strawberries,12,4424,Saturday
21137,Organic Strawberries,13,4897,Saturday
21137,Organic Strawberries,14,5065,Saturday
21137,Organic Strawberries,15,5008,Saturday
21137,Organic Strawberries,16,4656,Saturday
21137,Organic Strawberries,17,3632,Saturday
21137,Organic Strawberries,18,2713,Saturday
21137,Organic Strawberries,19,2136,Saturday
21137,Organic Strawberries,20,1887,Saturday
21137,Organic Strawberries,21,1619,Saturday
21137,Organic Strawberries,22,1254,Saturday
21137,Organic Strawberries,23,708,Saturday
21903,Organic Baby Spinach,0,365,Saturday
21903,Organic Baby Spinach,1,227,Saturday
21903,Organic Baby Spinach,2,81,Saturday
21903,Organic Baby Spinach,3,84,Saturday
21903,Organic Baby Spinach,4,51,Saturday
21903,Organic Baby Spinach,5,102,Saturday
21903,Organic Baby Spinach,6,314,Saturday
21903,Organic Baby Spinach,7,1339,Saturday
21903,Organic Baby Spinach,8,2999,Saturday
21903,Organic Baby Spinach,9,4135,Saturday
21903,Organic Baby Spinach,10,4895,Saturday
21903,Organic Baby Spinach,11,4999,Saturday
21903,Organic Baby Spinach,12,4999,Saturday
21903,Organic Baby Spinach,13,5179,Saturday
21903,Organic Baby Spinach,14,5280,Saturday
21903,Organic Baby Spinach,15,5186,Saturday
21903,Organic Baby Spinach,16,4571,Saturday
21903,Organic Baby Spinach,17,3486,Saturday
21903,Organic Baby Spinach,18,2587,Saturday
21903,Organic Baby Spinach,19,1940,Saturday
21903,Organic Baby Spinach,20,1661,Saturday
21903,Organic Baby Spinach,21,1357,Saturday
21903,Organic Baby Spinach,22,1099,Saturday
21903,Organic Baby Spinach,23,620,Saturday
22935,Organic Yellow Onion,0,145,Saturday
22935,Organic Yellow Onion,1,93,Saturday
22935,Organic Yellow Onion,2,40,Saturday
22935,Organic Yellow Onion,3,23,Saturday
22935,Organic Yellow Onion,4,27,Saturday
22935,Organic Yellow Onion,5,44,Saturday
22935,Organic Yellow Onion,6,133,Saturday
22935,Organic Yellow Onion,7,541,Saturday
22935,Organic Yellow Onion,8,1443,Saturday
22935,Organic Yellow Onion,9,1986,Saturday
22935,Organic Yellow Onion,10,2432,Saturday
22935,Organic Yellow Onion,11,2474,Saturday
22935,Organic Yellow Onion,12,2502,Saturday
22935,Organic Yellow Onion,13,2707,Saturday
22935,Organic Yellow Onion,14,2605,Saturday
22935,Organic Yellow Onion,15,2465,Saturday
22935,Organic Yellow Onion,16,2132,Saturday
22935,Organic Yellow Onion,17,1563,Saturday
22935,Organic Yellow Onion,18,1081,Saturday
22935,Organic Yellow Onion,19,760,Saturday
22935,Organic Yellow Onion,20,695,Saturday
22935,Organic Yellow Onion,21,601,Saturday
22935,Organic Yellow Onion,22,443,Saturday
22935,Organic Yellow Onion,23,265,Saturday
24852,Banana,0,580,Saturday
24852,Banana,1,334,Saturday
24852,Banana,2,184,Saturday
24852,Banana,3,110,Saturday
24852,Banana,4,103,Saturday
24852,Banana,5,172,Saturday
24852,Banana,6,624,Saturday
24852,Banana,7,2325,Saturday
24852,Banana,8,5158,Saturday
24852,Banana,9,7248,Saturday
24852,Banana,10,8430,Saturday
24852,Banana,11,8474,Saturday
24852,Banana,12,8532,Saturday
24852,Banana,13,8854,Saturday
24852,Banana,14,9147,Saturday
24852,Banana,15,9018,Saturday
24852,Banana,16,8443,Saturday
24852,Banana,17,6758,Saturday
24852,Banana,18,4939,Saturday
24852,Banana,19,3632,Saturday
24852,Banana,20,2974,Saturday
24852,Banana,21,2472,Saturday
24852,Banana,22,1908,Saturday
24852,Banana,23,1055,Saturday
24964,Organic Garlic,0,136,Saturday
24964,Organic Garlic,1,90,Saturday
24964,Organic Garlic,2,54,Saturday
24964,Organic Garlic,3,42,Saturday
24964,Organic Garlic,4,29,Saturday
24964,Organic Garlic,5,37,Saturday
24964,Organic Garlic,6,118,Saturday
24964,Organic Garlic,7,465,Saturday
24964,Organic Garlic,8,1237,Saturday
